'[21:00:00 2018-12-21]',88.7
'[21:01:00 2018-12-21]',92.9
'[21:02:00 2018-12-21]',100.3
'[21:03:00 2018-12-21]',99.5
'[21:04:00 2018-12-21]',97.9
'[21:05:00 2018-12-21]',95.1
'[21:06:00 2018-12-21]',93.4
'[21:07:00 2018-12-21]',95.2
'[21:08:00 2018-12-21]',95.1
'[21:09:00 2018-12-21]',93.3
'[21:10:00 2018-12-21]',95.0
'[21:11:00 2018-12-21]',92.9
'[21:12:00 2018-12-21]',96.4
'[21:13:00 2018-12-21]',95.6
'[21:14:00 2018-12-21]',98.9
'[21:15:00 2018-12-21]',95.0
'[21:16:00 2018-12-21]',87.0
'[21:17:00 2018-12-21]',82.2
'[21:18:00 2018-12-21]',80.6
'[21:19:00 2018-12-21]',79.0
'[21:20:00 2018-12-21]',78.4
'[21:21:00 2018-12-21]',76.8
'[21:22:00 2018-12-21]',77.1
'[21:23:00 2018-12-21]',78.7
'[21:24:00 2018-12-21]',55.9
'[21:25:00 2018-12-21]',76.6
'[21:26:00 2018-12-21]',77.4
'[21:27:00 2018-12-21]',76.6
'[21:28:00 2018-12-21]',75.2
'[21:29:00 2018-12-21]',76.3
'[21:30:00 2018-12-21]',75.6
'[21:31:00 2018-12-21]',74.7
'[21:32:00 2018-12-21]',75.7
'[21:33:00 2018-12-21]',72.8
'[21:34:00 2018-12-21]',60.1
'[21:35:00 2018-12-21]',70.6
'[21:36:00 2018-12-21]',72.9
'[21:37:00 2018-12-21]',75.2
'[21:38:00 2018-12-21]',74.1
'[21:39:00 2018-12-21]',75.3
'[21:40:00 2018-12-21]',73.7
'[21:41:00 2018-12-21]',73.2
'[21:42:00 2018-12-21]',74.7
'[21:43:00 2018-12-21]',75.2
'[21:44:00 2018-12-21]',77.1
'[21:45:00 2018-12-21]',76.6
'[21:46:00 2018-12-21]',76.2
'[21:47:00 2018-12-21]',75.6
'[21:48:00 2018-12-21]',75.8
'[21:49:00 2018-12-21]',72.9
'[21:50:00 2018-12-21]',75.4
'[21:51:00 2018-12-21]',73.2
'[21:52:00 2018-12-21]',74.7
'[21:53:00 2018-12-21]',75.6
'[21:54:00 2018-12-21]',76.2
'[21:55:00 2018-12-21]',77.0
'[21:56:00 2018-12-21]',78.4
'[21:57:00 2018-12-21]',77.6
'[21:58:00 2018-12-21]',78.8
'[21:59:00 2018-12-21]',79.5
'[22:00:00 2018-12-21]',79.5
'[22:01:00 2018-12-21]',80.1
'[22:02:00 2018-12-21]',78.7
'[22:03:00 2018-12-21]',78.4
'[22:04:00 2018-12-21]',135.8
'[22:05:00 2018-12-21]',169.2
'[22:06:00 2018-12-21]',89.2
'[22:07:00 2018-12-21]',78.6
'[22:08:00 2018-12-21]',79.7
'[22:09:00 2018-12-21]',79.5
'[22:10:00 2018-12-21]',79.7
'[22:11:00 2018-12-21]',78.9
'[22:12:00 2018-12-21]',78.8
'[22:13:00 2018-12-21]',78.5
'[22:14:00 2018-12-21]',77.7
'[22:15:00 2018-12-21]',78.3
'[22:16:00 2018-12-21]',77.3
'[22:17:00 2018-12-21]',77.8
'[22:18:00 2018-12-21]',78.2
'[22:19:00 2018-12-21]',77.1
'[22:20:00 2018-12-21]',77.4
'[22:21:00 2018-12-21]',76.8
'[22:22:00 2018-12-21]',77.8
'[22:23:00 2018-12-21]',79.1
'[22:24:00 2018-12-21]',79.3
'[22:25:00 2018-12-21]',80.9
'[22:26:00 2018-12-21]',78.7
'[22:27:00 2018-12-21]',80.6
'[22:28:00 2018-12-21]',78.3
'[22:29:00 2018-12-21]',78.3
'[22:30:00 2018-12-21]',79.7
'[22:31:00 2018-12-21]',81.9
'[22:32:00 2018-12-21]',82.3
'[22:33:00 2018-12-21]',81.8
'[22:34:00 2018-12-21]',81.6
'[22:35:00 2018-12-21]',80.4
'[22:36:00 2018-12-21]',78.6
'[22:37:00 2018-12-21]',78.4
'[22:38:00 2018-12-21]',77.7
'[22:39:00 2018-12-21]',77.9
'[22:40:00 2018-12-21]',77.1
'[22:41:00 2018-12-21]',76.5
'[22:42:00 2018-12-21]',75.9
'[22:43:00 2018-12-21]',77.1
'[22:44:00 2018-12-21]',76.6
'[22:45:00 2018-12-21]',76.3
'[22:46:00 2018-12-21]',76.3
'[22:47:00 2018-12-21]',77.6
'[22:48:00 2018-12-21]',78.4
'[22:49:00 2018-12-21]',78.6
'[22:50:00 2018-12-21]',78.4
'[22:51:00 2018-12-21]',78.0
'[22:52:00 2018-12-21]',78.5
'[22:53:00 2018-12-21]',78.4
'[22:54:00 2018-12-21]',79.5
'[22:55:00 2018-12-21]',79.2
'[22:56:00 2018-12-21]',79.0
'[22:57:00 2018-12-21]',76.1
'[22:58:00 2018-12-21]',79.9
'[22:59:00 2018-12-21]',78.3
'[23:00:00 2018-12-21]',80.5
'[23:01:00 2018-12-21]',80.5
'[23:02:00 2018-12-21]',73.8
'[23:03:00 2018-12-21]',79.7
'[23:04:00 2018-12-21]',80.1
'[23:05:00 2018-12-21]',80.7
'[23:06:00 2018-12-21]',86.1
'[23:07:00 2018-12-21]',85.3
'[23:08:00 2018-12-21]',83.5
'[23:09:00 2018-12-21]',81.5
'[23:10:00 2018-12-21]',80.0
'[23:11:00 2018-12-21]',79.1
'[23:12:00 2018-12-21]',78.3
'[23:13:00 2018-12-21]',78.8
'[23:14:00 2018-12-21]',77.7
'[23:15:00 2018-12-21]',77.6
'[23:16:00 2018-12-21]',77.4
'[23:17:00 2018-12-21]',77.0
'[23:18:00 2018-12-21]',75.8
'[23:19:00 2018-12-21]',76.4
'[23:20:00 2018-12-21]',77.4
'[23:21:00 2018-12-21]',78.6
'[23:22:00 2018-12-21]',77.3
'[23:23:00 2018-12-21]',77.8
'[23:24:00 2018-12-21]',77.3
'[23:25:00 2018-12-21]',77.6
'[23:26:00 2018-12-21]',77.1
'[23:27:00 2018-12-21]',77.0
'[23:28:00 2018-12-21]',78.1
'[23:29:00 2018-12-21]',78.2
'[23:30:00 2018-12-21]',77.2
'[23:31:00 2018-12-21]',77.7
'[23:32:00 2018-12-21]',77.9
'[23:33:00 2018-12-21]',77.9
'[23:34:00 2018-12-21]',76.5
'[23:35:00 2018-12-21]',77.4
'[23:36:00 2018-12-21]',78.0
'[23:37:00 2018-12-21]',77.6
'[23:38:00 2018-12-21]',78.7
'[23:39:00 2018-12-21]',79.8
'[23:40:00 2018-12-21]',81.5
'[23:41:00 2018-12-21]',82.8
'[23:42:00 2018-12-21]',80.5
'[23:43:00 2018-12-21]',81.7
'[23:44:00 2018-12-21]',83.6
'[23:45:00 2018-12-21]',86.7
'[23:46:00 2018-12-21]',85.9
'[23:47:00 2018-12-21]',86.8
'[23:48:00 2018-12-21]',85.7
'[23:49:00 2018-12-21]',85.0
'[23:50:00 2018-12-21]',86.8
'[23:51:00 2018-12-21]',94.2
'[23:52:00 2018-12-21]',86.6
'[23:53:00 2018-12-21]',78.1
'[23:54:00 2018-12-21]',72.1
'[23:55:00 2018-12-21]',70.0
'[23:56:00 2018-12-21]',77.5
'[23:57:00 2018-12-21]',75.5
'[23:58:00 2018-12-21]',78.0
'[23:59:00 2018-12-21]',77.9
'[00:00:00 2018-12-22]',74.4
'[00:01:00 2018-12-22]',73.4
'[00:02:00 2018-12-22]',75.7
'[00:03:00 2018-12-22]',134.9
'[00:04:00 2018-12-22]',72.5
'[00:05:00 2018-12-22]',71.1
'[00:06:00 2018-12-22]',70.9
'[00:07:00 2018-12-22]',70.8
'[00:08:00 2018-12-22]',71.0
'[00:09:00 2018-12-22]',76.1
'[00:10:00 2018-12-22]',77.6
'[00:11:00 2018-12-22]',78.5
'[00:12:00 2018-12-22]',77.6
'[00:13:00 2018-12-22]',76.1
'[00:14:00 2018-12-22]',78.9
'[00:15:00 2018-12-22]',78.8
'[00:16:00 2018-12-22]',77.5
'[00:17:00 2018-12-22]',77.9
'[00:18:00 2018-12-22]',78.6
'[00:19:00 2018-12-22]',78.1
'[00:20:00 2018-12-22]',78.1
'[00:21:00 2018-12-22]',79.0
