,0
2012-01-04 09:45:00,112.0955908895034
2012-01-04 09:46:00,113.62823764586143
2012-01-04 09:47:00,114.26199195185313
2012-01-04 09:48:00,114.18058835692
2012-01-04 09:49:00,113.40985931334946
2012-01-04 09:50:00,112.15543889272742
2012-01-04 09:51:00,110.56362422908568
2012-01-04 09:52:00,108.86818869780578
2012-01-04 09:53:00,107.30302872032445
2012-01-04 09:54:00,106.06761730151338
2012-01-04 09:55:00,105.30746578163007
2012-01-04 09:56:00,105.09635907888263
2012-01-04 09:57:00,105.43272586038525
2012-01-04 09:58:00,106.24399104937162
2012-01-04 09:59:00,107.40014004300109
2012-01-04 10:00:00,108.73410322112385
2012-01-04 10:01:00,110.06567423893381
2012-01-04 10:02:00,111.22574278858053
2012-01-04 10:03:00,112.0776162358227
2012-01-04 10:04:00,112.53285048067978
2012-01-04 10:05:00,112.55986275230046
2012-01-04 10:06:00,112.18463564147089
2012-01-04 10:07:00,111.48389494351025
2012-01-04 10:08:00,110.57209806049846
2012-01-04 10:09:00,109.58429513194115
2012-01-04 10:10:00,108.6573382217783
2012-01-04 10:11:00,107.91198048502235
2012-01-04 10:12:00,107.43813947676408
2012-01-04 10:13:00,107.28505129862097
2012-01-04 10:14:00,107.45730308523058
2012-01-04 10:15:00,107.91690796986023
2012-01-04 10:16:00,108.59079122484101
2012-01-04 10:17:00,109.38239050226805
2012-01-04 10:18:00,110.18561580412003
2012-01-04 10:19:00,110.89921297216293
2012-01-04 10:20:00,111.43963906474048
2012-01-04 10:21:00,111.75086464402607
2012-01-04 10:22:00,111.81001237942307
2012-01-04 10:23:00,111.62834797100965
2012-01-04 10:24:00,111.24777262953977
2012-01-04 10:25:00,110.73354229232037
2012-01-04 10:26:00,110.16438595291463
2012-01-04 10:27:00,109.62146349671565
2012-01-04 10:28:00,109.17766813844324
2012-01-04 10:29:00,108.88864370309123
2012-01-04 10:30:00,108.78658205178215
2012-01-04 10:31:00,108.87744075189714
2012-01-04 10:32:00,109.14173810534626
2012-01-04 10:33:00,109.538608133201
2012-01-04 10:34:00,110.01239325721808
2012-01-04 10:35:00,110.50076568953655
2012-01-04 10:36:00,110.94323015287115
2012-01-04 10:37:00,111.28887962242786
2012-01-04 10:38:00,111.50244040748316
2012-01-04 10:39:00,111.56792296212161
2012-01-04 10:40:00,111.48954700998588
2012-01-04 10:41:00,111.28998378066409
2012-01-04 10:42:00,111.00630441438831
2012-01-04 10:43:00,110.68429855015435
2012-01-04 10:44:00,110.37199928702124
