,0
2016-08-06 05:00:00,62.46117723776801
2016-08-06 05:01:00,61.27691069367147
2016-08-06 05:02:00,60.44939329079631
2016-08-06 05:03:00,59.354303909924795
2016-08-06 05:04:00,58.605895373170014
2016-08-06 05:05:00,58.035365283748824
2016-08-06 05:06:00,57.53325233078829
2016-08-06 05:07:00,57.11999254338739
2016-08-06 05:08:00,56.79939560511322
2016-08-06 05:09:00,56.54235106995032
2016-08-06 05:10:00,56.32220094025938
2016-08-06 05:11:00,56.15381566331484
2016-08-06 05:12:00,56.013950704842614
2016-08-06 05:13:00,55.905368947266375
2016-08-06 05:14:00,55.815090013325005
2016-08-06 05:15:00,55.7476804492555
2016-08-06 05:16:00,55.692530653680734
2016-08-06 05:17:00,55.65221767773162
2016-08-06 05:18:00,55.620532274412604
2016-08-06 05:19:00,55.59890900469744
2016-08-06 05:20:00,55.58303606761568
2016-08-06 05:21:00,55.57378800717617
2016-08-06 05:22:00,55.568426966631435
2016-08-06 05:23:00,55.56734937758381
2016-08-06 05:24:00,55.5687593938829
2016-08-06 05:25:00,55.57285368688518
2016-08-06 05:26:00,55.57846015860716
2016-08-06 05:27:00,55.58564348273299
2016-08-06 05:28:00,55.593642269567084
2016-08-06 05:29:00,55.602466463753245
2016-08-06 05:30:00,55.61162003937933
2016-08-06 05:31:00,55.62108930652201
2016-08-06 05:32:00,55.63055515613465
2016-08-06 05:33:00,55.639999165898246
2016-08-06 05:34:00,55.649218352369864
2016-08-06 05:35:00,55.6581980482243
2016-08-06 05:36:00,55.666812620794445
2016-08-06 05:37:00,55.67505419150591
2016-08-06 05:38:00,55.68284837217192
2016-08-06 05:39:00,55.690194535383085
2016-08-06 05:40:00,55.69705224068333
2016-08-06 05:41:00,55.70342718569669
2016-08-06 05:42:00,55.7093012462561
2016-08-06 05:43:00,55.71468509228248
2016-08-06 05:44:00,55.7195750722463
2016-08-06 05:45:00,55.72398540589223
2016-08-06 05:46:00,55.72792161195467
2016-08-06 05:47:00,55.73140018845904
2016-08-06 05:48:00,55.734432233403865
2016-08-06 05:49:00,55.737035470908296
2016-08-06 05:50:00,55.73922415468246
2016-08-06 05:51:00,55.7410164143652
2016-08-06 05:52:00,55.742428033567165
2016-08-06 05:53:00,55.74347693828102
2016-08-06 05:54:00,55.74417936528171
2016-08-06 05:55:00,55.74455260675325
2016-08-06 05:56:00,55.74461265428321
2016-08-06 05:57:00,55.74437588053985
2016-08-06 05:58:00,55.743857594547634
2016-08-06 05:59:00,55.74307307596798
